,postal_code,state_id,oportunidad
0,86515,AZ,A
1,19939,DE,A
2,19947,DE,A
3,19940,DE,A
4,19975,DE,A
5,19950,DE,A
6,19970,DE,A
7,19963,DE,A
8,19933,DE,A
9,19966,DE,A
10,19968,DE,A
11,19930,DE,A
12,19973,DE,A
13,19967,DE,A
14,19944,DE,A
15,19945,DE,A
16,19956,DE,A
17,19958,DE,A
18,19941,DE,A
19,19971,DE,A
20,19807,DE,C
21,19701,DE,C
22,19806,DE,C
23,19703,DE,C
24,19802,DE,C
25,19805,DE,E
26,19736,DE,C
27,19711,DE,E
28,19709,DE,C
29,19734,DE,C
30,19809,DE,C
31,19810,DE,E
32,19707,DE,C
33,19717,DE,C
34,19720,DE,E
35,19808,DE,E
36,19702,DE,E
37,19710,DE,C
38,19804,DE,C
39,19803,DE,E
40,19801,DE,E
41,19713,DE,E
42,19901,DE,A
43,19946,DE,A
44,19902,DE,A
45,19943,DE,A
46,19934,DE,A
47,19904,DE,A
48,19977,DE,A
49,19962,DE,A
50,19952,DE,A
51,34772,FL,A
52,34773,FL,A
53,33896,FL,A
54,34769,FL,A
55,34741,FL,A
56,33848,FL,A
57,34744,FL,A
58,34746,FL,A
59,34747,FL,A
60,34743,FL,A
61,34711,FL,A
62,32102,FL,A
63,32736,FL,A
64,34753,FL,A
65,34736,FL,A
66,32778,FL,A
67,34788,FL,A
68,34756,FL,A
69,34731,FL,A
70,34715,FL,A
71,32776,FL,A
72,32757,FL,A
73,32159,FL,A
74,34714,FL,A
75,34748,FL,A
76,32726,FL,A
77,32351,FL,A
78,32330,FL,A
79,32333,FL,A
80,32347,FL,A
81,32348,FL,A
82,32321,FL,A
83,33876,FL,A
84,33852,FL,A
85,33872,FL,A
86,33870,FL,A
87,33825,FL,A
88,33875,FL,A
89,33040,FL,A
90,33043,FL,A
91,33050,FL,A
92,33037,FL,A
93,33036,FL,A
94,33042,FL,A
95,32771,FL,A
96,32707,FL,A
97,32732,FL,A
98,32765,FL,A
99,32714,FL,A
100,32750,FL,A
101,32701,FL,A
102,32730,FL,A
103,32792,FL,A
104,32779,FL,A
105,32746,FL,A
106,32773,FL,A
107,32708,FL,A
108,33935,FL,A
109,33440,FL,A
110,33936,FL,A
111,34110,FL,A
112,34104,FL,A
113,34140,FL,A
114,34112,FL,A
115,34142,FL,A
116,34108,FL,A
117,34120,FL,A
118,34116,FL,A
119,34139,FL,A
120,34109,FL,A
121,34119,FL,A
122,34145,FL,A
123,34102,FL,A
124,34114,FL,A
125,34117,FL,A
126,34113,FL,A
127,34103,FL,A
128,32693,FL,A
129,32619,FL,A
130,32060,FL,A
131,32064,FL,A
132,33991,FL,A
133,33901,FL,A
134,33908,FL,A
135,33965,FL,A
136,33913,FL,A
137,33917,FL,A
138,33971,FL,A
139,33957,FL,A
140,33907,FL,A
141,34134,FL,A
142,33967,FL,A
